Address,member,degree,Hoghugh_Income,Azad_Income,Other_Income,Yarane_Income,total_income
20007391415,1,College,0.0,110000000.0,0.0,10920000.0,120920000.0
20001385415,1,Elemantry,0.0,0.0,155000000.0,10920000.0,165920000.0
20001385408,1,Elemantry,0.0,180000000.0,0.0,10920000.0,190920000.0
20007391423,1,Elemantry,0.0,220000000.0,0.0,10920000.0,230920000.0
20001384223,1,Secondary,223920000.0,0.0,0.0,21840000.0,245760000.0
20001384207,1,Diploma,0.0,266000000.0,0.0,16380000.0,282380000.0
20012395817,1,Elemantry,0.0,0.0,2380000.0,21840000.0,24220000.0
20013397008,1,Secondary,0.0,180000000.0,0.0,27300000.0,207300000.0
20013397020,1,Elemantry,0.0,0.0,600000.0,16380000.0,16980000.0
20009393015,1,No degree,0.0,0.0,12000000.0,10920000.0,22920000.0
20009393015,2,Elemantry,0.0,43000000.0,0.0,0.0,43000000.0
20009393020,1,Elemantry,0.0,120000000.0,0.0,16380000.0,136380000.0
20004388214,1,Elemantry,0.0,9000000.0,50000000.0,10920000.0,69920000.0
20004388220,1,Elemantry,0.0,272500000.0,40000000.0,27300000.0,339800000.0
20004388220,3,Bachelor,144000000.0,0.0,0.0,0.0,144000000.0
20010393414,1,No degree,0.0,0.0,64400000.0,10920000.0,75320000.0
20004388208,1,Elemantry,0.0,31500000.0,337000000.0,10920000.0,379420000.0
20002385814,1,Elemantry,68000000.0,0.0,2800000.0,21840000.0,92640000.0
20002385814,2,Secondary,0.0,0.0,800000.0,0.0,800000.0
20002385823,1,Elemantry,20000000.0,39600000.0,0.0,16380000.0,75980000.0
20002385823,3,Elemantry,40000000.0,0.0,0.0,0.0,40000000.0
20002385808,1,No degree,0.0,0.0,60000000.0,5460000.0,65460000.0
20002385811,1,No degree,0.0,112800000.0,0.0,10920000.0,123720000.0
20011394623,1,Elemantry,0.0,18200000.0,0.0,16380000.0,34580000.0
20011394623,3,Diploma,0.0,0.0,4000000.0,0.0,4000000.0
20011394620,1,No degree,0.0,0.0,42000000.0,21840000.0,63840000.0
20011394620,3,Bachelor,0.0,15000000.0,0.0,0.0,15000000.0
20011394620,4,HighSchool,0.0,0.0,3600000.0,0.0,3600000.0
20009393011,1,No degree,0.0,0.0,60000000.0,16380000.0,76380000.0
20006390620,1,Diploma,0.0,77000000.0,212000000.0,10920000.0,299920000.0
20006390611,1,No degree,0.0,27000000.0,0.0,43680000.0,70680000.0
20006390614,1,Elemantry,0.0,15700000.0,0.0,16380000.0,32080000.0
20006390608,1,No degree,0.0,177000000.0,0.0,21840000.0,198840000.0
20006390608,3,Diploma,0.0,275000000.0,0.0,0.0,275000000.0
20009393011,3,Elemantry,0.0,88000000.0,0.0,0.0,88000000.0
20012395808,1,No degree,0.0,35000000.0,0.0,16380000.0,51380000.0
20012395808,3,Diploma,35000000.0,0.0,0.0,0.0,35000000.0
20001384609,1,Secondary,0.0,290000000.0,0.0,10920000.0,300920000.0
20001384616,1,Elemantry,0.0,426000000.0,0.0,32760000.0,458760000.0
20001384616,3,Elemantry,0.0,212300000.0,0.0,0.0,212300000.0
20001384616,4,Elemantry,168000000.0,0.0,0.0,0.0,168000000.0
20006389412,1,Secondary,353200000.0,0.0,2950000.0,21840000.0,377990000.0
20006389412,2,Diploma,225360008.0,0.0,0.0,0.0,225360008.0
20006389416,1,Diploma,170160004.0,0.0,0.0,21840000.0,192000004.0
20006389420,1,Diploma,349800008.0,0.0,1600000.0,16380000.0,367780008.0
20005388616,1,Diploma,30000000.0,17000000.0,2000000.0,21840000.0,70840000.0
20005388610,1,Elemantry,0.0,241000000.0,0.0,21840000.0,262840000.0
20004388217,1,No degree,0.0,0.0,40000000.0,10920000.0,50920000.0
20011394611,1,No degree,0.0,0.0,14000000.0,16380000.0,30380000.0
20011394611,2,Diploma,0.0,20000000.0,0.0,0.0,20000000.0
20011394611,3,Secondary,0.0,0.0,1070000.0,0.0,1070000.0
20002385820,1,Elemantry,0.0,194000000.0,0.0,10920000.0,204920000.0
20002385820,3,Diploma,0.0,241000000.0,0.0,0.0,241000000.0
20009393008,1,No degree,0.0,0.0,0.0,16380000.0,16380000.0
20009393008,3,Diploma,0.0,438000000.0,0.0,0.0,438000000.0
20010393411,1,No degree,0.0,0.0,13000000.0,10920000.0,23920000.0
20006390623,1,Secondary,0.0,0.0,0.0,21840000.0,21840000.0
20006390623,3,College,144000000.0,0.0,0.0,0.0,144000000.0
20001384608,1,Elemantry,0.0,246300000.0,0.0,16380000.0,262680000.0
20001384608,3,College,168000000.0,0.0,0.0,0.0,168000000.0
20001384617,1,Elemantry,0.0,348300000.0,0.0,10920000.0,359220000.0
20013397023,1,Elemantry,0.0,156000000.0,17000000.0,16380000.0,189380000.0
20013397023,3,Diploma,0.0,0.0,6400000.0,0.0,6400000.0
20001384623,1,No degree,0.0,0.0,39000000.0,10920000.0,49920000.0
20011394608,1,Other,0.0,301200000.0,12000000.0,21840000.0,335040000.0
20011394608,4,Diploma,0.0,105000000.0,0.0,0.0,105000000.0
20013397013,1,Other,0.0,303500000.0,1100000.0,16380000.0,320980000.0
20004387408,1,Elemantry,0.0,56500000.0,0.0,21840000.0,78340000.0
20004387417,1,No degree,0.0,0.0,45800000.0,5460000.0,51260000.0
20012395814,1,Elemantry,0.0,0.0,10000000.0,0.0,10000000.0
20012395814,2,Elemantry,0.0,0.0,6000000.0,5460000.0,11460000.0
20007391414,1,Elemantry,0.0,0.0,250000000.0,10920000.0,260920000.0
20003387020,1,Elemantry,0.0,0.0,282000000.0,16380000.0,298380000.0
20010393823,1,Secondary,0.0,250000000.0,0.0,27300000.0,277300000.0
20010393823,3,Elemantry,10000000.0,0.0,0.0,0.0,10000000.0
20010393823,4,Elemantry,12000000.0,0.0,0.0,0.0,12000000.0
20005388620,1,Elemantry,135000000.0,431000000.0,0.0,21840000.0,587840000.0
20013397007,1,Elemantry,0.0,357000000.0,0.0,21840000.0,378840000.0
20013397007,3,Secondary,91000000.0,0.0,0.0,0.0,91000000.0
20013397007,4,Bachelor,120000000.0,0.0,15000000.0,0.0,135000000.0
20005388610,5,No degree,0.0,0.0,0.0,1820000.0,1820000.0
20005388623,1,Elemantry,70000000.0,0.0,1400000.0,21840000.0,93240000.0
20012396208,1,No degree,0.0,0.0,0.0,21840000.0,21840000.0
20012396208,3,Elemantry,0.0,431000000.0,0.0,0.0,431000000.0
20012396208,4,Diploma,0.0,46000000.0,0.0,0.0,46000000.0
20012396213,1,Elemantry,100000000.0,0.0,0.0,10920000.0,110920000.0
20012396213,2,Elemantry,0.0,0.0,2000000.0,0.0,2000000.0
20011394614,1,No degree,0.0,75000000.0,0.0,21840000.0,96840000.0
20010393810,1,Secondary,0.0,373000000.0,0.0,27300000.0,400300000.0
20004387420,1,Elemantry,20000000.0,60000000.0,0.0,21840000.0,101840000.0
20004387420,2,Elemantry,5000000.0,0.0,0.0,0.0,5000000.0
20004387420,3,Secondary,90000000.0,0.0,0.0,0.0,90000000.0
20010393808,1,Elemantry,0.0,0.0,176000000.0,10920000.0,186920000.0
20004387423,1,Elemantry,0.0,0.0,24000000.0,21840000.0,45840000.0
20004387423,3,Secondary,10000000.0,50300000.0,0.0,0.0,60300000.0
20004387423,4,Secondary,25000000.0,0.0,0.0,0.0,25000000.0
20010393813,1,Secondary,175500000.0,0.0,280000.0,27300000.0,203080000.0
20011395020,1,Elemantry,0.0,204000000.0,0.0,16380000.0,220380000.0
20011395008,1,Diploma,166720008.0,0.0,0.0,27300000.0,194020008.0
20011395008,2,Bachelor,260960000.0,0.0,0.0,0.0,260960000.0
20011395008,3,HighSchool,24000000.0,0.0,0.0,0.0,24000000.0
20011395023,1,Diploma,0.0,350000000.0,0.0,27300000.0,377300000.0
20011395023,5,No degree,0.0,0.0,15000000.0,0.0,15000000.0
20006389823,1,Secondary,120000000.0,0.0,0.0,27300000.0,147300000.0
20012396214,1,No degree,0.0,0.0,600000000.0,10920000.0,610920000.0
20012396220,1,Diploma,100000000.0,0.0,0.0,21840000.0,121840000.0
20010393820,1,Secondary,0.0,0.0,334000000.0,16380000.0,350380000.0
20010393820,3,Diploma,0.0,0.0,12000000.0,0.0,12000000.0
20004387414,1,Secondary,0.0,30000000.0,4300000.0,21840000.0,56140000.0
20004387411,1,No degree,0.0,41000000.0,16700000.0,10920000.0,68620000.0
20011395015,1,No degree,0.0,0.0,160000000.0,16380000.0,176380000.0
20002386220,1,Elemantry,0.0,0.0,202800000.0,16380000.0,219180000.0
20002386220,3,Diploma,0.0,78300000.0,0.0,0.0,78300000.0
20006389817,1,No degree,0.0,97000000.0,0.0,21840000.0,118840000.0
20006389814,1,Elemantry,0.0,346200000.0,0.0,27300000.0,373500000.0
20010393818,1,Secondary,0.0,0.0,0.0,21840000.0,21840000.0
20010393818,2,Elemantry,326000008.0,0.0,16600000.0,0.0,342600008.0
20013397408,1,No degree,0.0,0.0,19500000.0,16380000.0,35880000.0
20013397408,2,Elemantry,0.0,0.0,14700000.0,0.0,14700000.0
20013397408,3,Diploma,0.0,116700000.0,0.0,0.0,116700000.0
20013397417,1,No degree,0.0,13000000.0,30300000.0,10920000.0,54220000.0
20001385023,1,Elemantry,0.0,118200000.0,54000000.0,16380000.0,188580000.0
20002386223,1,No degree,0.0,0.0,160000000.0,10920000.0,170920000.0
20001385018,1,Elemantry,0.0,0.0,214000000.0,16380000.0,230380000.0
20001385018,3,Secondary,50000000.0,15000000.0,0.0,0.0,65000000.0
20001385014,1,Secondary,0.0,0.0,394000000.0,21840000.0,415840000.0
20001385014,3,College,284408008.0,0.0,0.0,0.0,284408008.0
20001385014,4,Diploma,229064008.0,0.0,0.0,0.0,229064008.0
20013397412,1,Secondary,75000000.0,0.0,15000000.0,21840000.0,111840000.0
20013397423,1,No degree,0.0,0.0,24000000.0,5460000.0,29460000.0
20013397420,1,Diploma,247054404.0,0.0,0.0,21840000.0,268894404.0
20011394613,1,No degree,0.0,0.0,309160000.0,10920000.0,320080000.0
20011394613,2,No degree,0.0,0.0,9160000.0,0.0,9160000.0
20006389414,1,Elemantry,258800004.0,0.0,0.0,21840000.0,280640004.0
20006389414,3,Bachelor,0.0,0.0,19200000.0,0.0,19200000.0
20012396617,1,No degree,0.0,140500000.0,0.0,16380000.0,156880000.0
20006390213,1,Elemantry,0.0,0.0,650000000.0,10920000.0,660920000.0
20007391023,1,Elemantry,0.0,360000000.0,0.0,16380000.0,376380000.0
20005388614,1,College,381280000.0,0.0,36000000.0,32760000.0,450040000.0
20002386211,1,Elemantry,0.0,61500000.0,18840000.0,16380000.0,96720000.0
20001385417,1,Elemantry,0.0,0.0,202000000.0,16380000.0,218380000.0
20012395820,1,Bachelor,304140000.0,0.0,0.0,21840000.0,325980000.0
20003386614,1,Elemantry,0.0,70800000.0,0.0,10920000.0,81720000.0
20002386212,1,No degree,0.0,0.0,168000000.0,5460000.0,173460000.0
20002386216,1,No degree,0.0,51500000.0,36000000.0,10920000.0,98420000.0
20001385007,1,No degree,0.0,0.0,141000000.0,27300000.0,168300000.0
20001385009,1,No degree,0.0,0.0,184000000.0,32760000.0,216760000.0
20001385009,5,Bachelor,70000000.0,0.0,0.0,0.0,70000000.0
20001385009,6,Bachelor,160160004.0,0.0,0.0,0.0,160160004.0
20007392214,1,No degree,0.0,0.0,25200000.0,5460000.0,30660000.0
20007392208,1,HighSchool,0.0,180000000.0,0.0,21840000.0,201840000.0
20007392220,1,Elemantry,0.0,180000000.0,0.0,10920000.0,190920000.0
20007392211,1,Elemantry,0.0,238000000.0,0.0,10920000.0,248920000.0
20007392223,1,Elemantry,144000000.0,0.0,0.0,16380000.0,160380000.0
20007391017,1,Elemantry,0.0,0.0,334000000.0,16380000.0,350380000.0
20007391017,3,Diploma,179600000.0,0.0,0.0,0.0,179600000.0
20007392217,1,HighSchool,0.0,129000000.0,0.0,27300000.0,156300000.0
20007391008,1,Elemantry,0.0,0.0,152000000.0,10920000.0,162920000.0
20007391015,1,Elemantry,192440000.0,0.0,0.0,21840000.0,214280000.0
20012396211,1,Elemantry,0.0,217500000.0,0.0,21840000.0,239340000.0
20007391020,1,Diploma,183060000.0,0.0,0.0,16380000.0,199440000.0
20006389820,1,Secondary,0.0,174000000.0,120000000.0,21840000.0,315840000.0
20007391009,1,Secondary,0.0,0.0,156000000.0,16380000.0,172380000.0
20003386609,1,Elemantry,0.0,123000000.0,0.0,16380000.0,139380000.0
20001384620,1,Elemantry,0.0,221500000.0,0.0,27300000.0,248800000.0
20001384620,3,Secondary,144000000.0,0.0,0.0,0.0,144000000.0
20006389812,1,No degree,0.0,0.0,112400000.0,16380000.0,128780000.0
20005388609,1,Secondary,0.0,410000000.0,0.0,27300000.0,437300000.0
20002386213,1,No degree,0.0,0.0,166000000.0,5480000.0,171480000.0
20012396614,1,No degree,0.0,0.0,117100000.0,5460000.0,122560000.0
20011395011,1,No degree,0.0,0.0,166000000.0,5460000.0,171460000.0
20010393407,1,Secondary,0.0,424500000.0,0.0,27300000.0,451800000.0
20010393407,3,Bachelor,40000000.0,0.0,0.0,0.0,40000000.0
20006390218,1,No degree,0.0,0.0,110800000.0,5460000.0,116260000.0
20001385020,1,No degree,0.0,0.0,311000000.0,5460000.0,316460000.0
20010393423,1,No degree,0.0,0.0,152900000.0,10920000.0,163820000.0
20006389411,1,Elemantry,212480004.0,0.0,0.0,21840000.0,234320004.0
20006389411,3,Bachelor,0.0,260000000.0,0.0,0.0,260000000.0
20002385817,1,Elemantry,0.0,195500000.0,0.0,10920000.0,206420000.0
20010394214,1,No degree,0.0,413000000.0,38200000.0,16380000.0,467580000.0
20005389014,1,No degree,0.0,0.0,161700000.0,5460000.0,167160000.0
20006390220,1,Elemantry,528800000.0,0.0,2000000.0,21840000.0,552640000.0
20009393017,1,Diploma,135000000.0,0.0,0.0,0.0,135000000.0
20009393017,2,Elemantry,0.0,0.0,0.0,10920000.0,10920000.0
20006389808,1,Diploma,0.0,38200000.0,15000000.0,16380000.0,69580000.0
20006389808,3,Secondary,0.0,38200000.0,0.0,0.0,38200000.0
20009393023,1,Elemantry,0.0,277500000.0,20000000.0,10920000.0,308420000.0
20009393023,2,Elemantry,0.0,0.0,270000000.0,0.0,270000000.0
20010393420,1,Diploma,0.0,0.0,286000000.0,16380000.0,302380000.0
20012396223,1,Elemantry,0.0,261000000.0,92000000.0,10920000.0,363920000.0
20007392608,1,Secondary,0.0,0.0,490000000.0,32760000.0,522760000.0
20010393415,1,Elemantry,44000000.0,195400000.0,0.0,21840000.0,261240000.0
20004388211,1,Elemantry,0.0,66000000.0,0.0,10920000.0,76920000.0
20007392623,1,Diploma,435832000.0,0.0,0.0,32760000.0,468592000.0
20004388223,1,Elemantry,0.0,0.0,48500000.0,5460000.0,53960000.0
20011395014,1,Elemantry,0.0,107000000.0,0.0,10920000.0,117920000.0
20006389423,1,Secondary,304000008.0,0.0,0.0,21840000.0,325840008.0
20013397016,1,Secondary,186600000.0,0.0,0.0,16380000.0,202980000.0
20012396623,1,Elemantry,0.0,100000000.0,900000.0,38220000.0,139120000.0
20013397414,1,Elemantry,0.0,84500000.0,0.0,21840000.0,106340000.0
20006390223,1,Diploma,0.0,20000000.0,151600000.0,10920000.0,182520000.0
20006390617,1,Elemantry,0.0,312500000.0,0.0,27300000.0,339800000.0
20106401010,1,No degree,0.0,0.0,193000000.0,5460000.0,198460000.0
20106401010,2,Elemantry,0.0,0.0,0.0,5460000.0,5460000.0
20102398811,1,No degree,0.0,0.0,63400000.0,5460000.0,68860000.0
20102398811,2,Diploma,0.0,0.0,900000.0,10920000.0,11820000.0
20102398811,3,Secondary,0.0,0.0,1400000.0,0.0,1400000.0
20101398318,1,HighSchool,0.0,0.0,65000000.0,16380000.0,81380000.0
20101398318,2,HighSchool,0.0,0.0,1500000.0,0.0,1500000.0
20101398318,3,Elemantry,0.0,0.0,1000000.0,0.0,1000000.0
20102398808,1,No degree,0.0,0.0,5900000.0,5460000.0,11360000.0
20101398317,1,No degree,0.0,0.0,20000000.0,10920000.0,30920000.0
20101398310,1,Secondary,0.0,0.0,269000000.0,10920000.0,279920000.0
20107401523,1,Elemantry,0.0,0.0,30000000.0,10920000.0,40920000.0
20107401523,2,No degree,0.0,0.0,25000000.0,0.0,25000000.0
20111403608,1,No degree,0.0,0.0,78200000.0,10920000.0,89120000.0
20111403608,2,No degree,0.0,0.0,1000000.0,0.0,1000000.0
20106401011,1,Elemantry,0.0,0.0,77360000.0,10920000.0,88280000.0
20106401011,2,Elemantry,0.0,0.0,720000.0,0.0,720000.0
20111403611,1,No degree,0.0,0.0,24000000.0,5460000.0,29460000.0
20106401014,1,No degree,0.0,0.0,18250000.0,5460000.0,23710000.0
20112404223,1,No degree,0.0,0.0,27300000.0,5460000.0,32760000.0
20111403617,1,No degree,0.0,0.0,27000000.0,5460000.0,32460000.0
20106401017,1,No degree,0.0,17050000.0,57000000.0,16380000.0,90430000.0
20112404220,1,Secondary,0.0,247000000.0,0.0,5460000.0,252460000.0
20112404220,2,No degree,0.0,0.0,226000000.0,5460000.0,231460000.0
20111403614,1,Diploma,0.0,93000000.0,0.0,16380000.0,109380000.0
20111403614,3,College,0.0,0.0,5000000.0,0.0,5000000.0
20101398311,1,Bachelor,164000000.0,0.0,65000000.0,16380000.0,245380000.0
20101398311,3,No degree,0.0,0.0,2000000.0,0.0,2000000.0
20101398311,4,No degree,0.0,0.0,15000000.0,0.0,15000000.0
