Address,Fasl,weight,khanevartype,province,town,Hoghugh_Income,Azad_Income,Other_Income,Yarane_Income,total_netincome
10001000119,4,1245,1,Markazi,1,0.0,0.0,905500000.0,13440000.0,918940000.0
10001000120,4,1245,1,Markazi,1,1148000000.0,0.0,225500000.0,17640000.0,1391140000.0
10001000126,4,1245,1,Markazi,1,0.0,0.0,594500000.0,1260000.0,595760000.0
10001000130,4,1245,1,Markazi,1,0.0,0.0,939500000.0,6720000.0,946220000.0
10001000132,4,1245,1,Markazi,1,120000000.0,0.0,943500000.0,12180000.0,1075680000.0
10001000135,4,1245,1,Markazi,1,0.0,0.0,256360000.0,6720000.0,263080000.0
10001000220,1,1245,1,Markazi,1,740000000.0,0.0,25600000.0,12880000.0,778480000.0
10001000221,1,1245,1,Markazi,1,524000000.0,0.0,25600000.0,12880000.0,562480000.0
10001000226,1,1245,1,Markazi,1,0.0,0.0,435400000.0,1960000.0,437360000.0
10001000230,1,1245,1,Markazi,1,0.0,0.0,498800000.0,7420000.0,506220000.0
10001000232,1,1245,1,Markazi,1,680000000.0,0.0,890800000.0,7420000.0,1578220000.0
10001000235,1,1245,1,Markazi,1,0.0,4000000000.0,36400000.0,23800000.0,4060200000.0
10001000319,2,1245,1,Markazi,1,0.0,0.0,821560000.0,12180000.0,833740000.0
10001000321,2,1245,1,Markazi,1,760200000.0,0.0,0.0,16380000.0,776580000.0
10001000326,2,1245,1,Markazi,1,549000000.0,0.0,0.0,0.0,549000000.0
10001000329,2,1245,1,Markazi,1,1035000000.0,0.0,0.0,0.0,1035000000.0
10001000332,2,1245,1,Markazi,1,0.0,0.0,1960000000.0,12180000.0,1972180000.0
10001000335,2,1245,1,Markazi,1,0.0,0.0,505000000.0,6720000.0,511720000.0
10001000420,3,1245,1,Markazi,1,0.0,0.0,627600000.0,6720000.0,634320000.0
10001000423,3,1245,1,Markazi,1,780000000.0,0.0,30800000.0,23100000.0,833900000.0
10001000425,3,1245,1,Markazi,1,514000000.0,0.0,218200000.0,12180000.0,744380000.0
10001000426,3,1245,1,Markazi,1,360000000.0,0.0,12600000.0,6720000.0,379320000.0
10001000432,3,1245,1,Markazi,1,0.0,0.0,938200000.0,12180000.0,950380000.0
10001000435,3,1245,1,Markazi,1,0.0,480000000.0,1573800000.0,17640000.0,2071440000.0
10001000519,4,1245,1,Markazi,1,0.0,0.0,523000000.0,5460000.0,528460000.0
10001000521,4,1245,1,Markazi,1,691920008.0,0.0,407000000.0,12180000.0,1111100008.0
10001000528,4,1245,1,Markazi,1,607480000.0,0.0,10000000.0,17640000.0,635120000.0
10001000530,4,1245,1,Markazi,1,0.0,0.0,870000000.0,6720000.0,876720000.0
10001000532,4,1245,1,Markazi,1,0.0,1082000000.0,136360000.0,17640000.0,1236000000.0
10001000535,4,1245,1,Markazi,1,453872004.0,1518000000.0,0.0,0.0,1971872004.0
10001000619,1,1245,1,Markazi,1,0.0,0.0,624800000.0,7070000.0,631870000.0
10001000622,1,1245,1,Markazi,1,584000000.0,0.0,1205600000.0,12530000.0,1802130000.0
10001000625,1,1245,1,Markazi,1,480000000.0,0.0,20800000.0,7070000.0,507870000.0
10001000627,1,1245,1,Markazi,1,180000000.0,0.0,702400000.0,23450000.0,905850000.0
10001000632,1,1245,1,Markazi,1,0.0,0.0,628600000.0,12530000.0,641130000.0
10001000635,1,1245,1,Markazi,1,0.0,0.0,820800000.0,7070000.0,827870000.0
10001000720,2,1245,1,Markazi,1,668000000.0,0.0,20400000.0,17640000.0,706040000.0
10001000723,2,1245,1,Markazi,1,624000000.0,0.0,20400000.0,17640000.0,662040000.0
10001000726,2,1245,1,Markazi,1,613800000.0,0.0,226400000.0,23100000.0,863300000.0
10001000729,2,1245,1,Markazi,1,1320000000.0,490000000.0,20400000.0,17640000.0,1848040000.0
10001000732,2,1245,1,Markazi,1,588000000.0,0.0,215600000.0,12180000.0,815780000.0
10001000735,2,1245,1,Markazi,1,240000000.0,0.0,50800000.0,6720000.0,297520000.0
10001000921,3,1245,1,Markazi,1,0.0,0.0,1290600000.0,6720000.0,1297320000.0
10001000923,3,1245,1,Markazi,1,856000000.0,0.0,18200000.0,12180000.0,886380000.0
10001000926,3,1245,1,Markazi,1,1166000000.0,0.0,23800000.0,17640000.0,1207440000.0
10001000929,3,1245,1,Markazi,1,588000000.0,0.0,212600000.0,6720000.0,807320000.0
10001000932,3,1245,1,Markazi,1,980000000.0,0.0,23800000.0,17640000.0,1021440000.0
10001000935,3,1245,1,Markazi,1,0.0,620000000.0,12380000.0,17640000.0,650020000.0
10001001021,4,1245,1,Markazi,1,797920004.0,0.0,1030800000.0,0.0,1828720004.0
10001001023,4,1245,1,Markazi,1,947920004.0,0.0,1908000000.0,0.0,2855920004.0
10001001026,4,1245,1,Markazi,1,0.0,0.0,768000000.0,0.0,768000000.0
10001001029,4,1245,1,Markazi,1,0.0,0.0,1691600000.0,0.0,1691600000.0
10001001032,4,1245,1,Markazi,1,2038080000.0,0.0,660000000.0,0.0,2698080000.0
10001001035,4,1245,1,Markazi,1,0.0,0.0,454700000.0,16380000.0,471080000.0
10001001119,1,1245,1,Markazi,1,752000000.0,0.0,10800000.0,5460000.0,768260000.0
10001001120,1,1245,1,Markazi,1,843600000.0,0.0,20400000.0,16380000.0,880380000.0
10001001125,1,1245,1,Markazi,1,420000000.0,640000000.0,20400000.0,16380000.0,1096780000.0
10001001128,1,1245,1,Markazi,1,0.0,1180000000.0,15600000.0,10920000.0,1206520000.0
