Address,member,income_pension,income_rent,income_interest,income_aid,income_resale,income_transfer,Fasl,year
20001385412,1,,0024600000,,,,,1,98
20001385423,1,0154000000,,,,,,1,98
20001385420,1,0130000000,,,,,,1,98
20011395423,1,,,,,5000000.0,5000000.0,1,98
20011395416,1,,0080000000,,12000000.0,,,1,98
20005389011,1,0152000000,,260000.0,,,,1,98
20005389018,1,,,2000000.0,32400000.0,,,1,98
20005389020,1,,,,,,20000000.0,1,98
20005389023,1,,,2000000.0,17000000.0,,50000000.0,1,98
20012396607,1,,0010000000,,12000000.0,,15000000.0,1,98
20010394220,1,0201000000,,,,30000000.0,,1,98
20012396620,1,,,1800000.0,,,,1,98
20012396609,1,,,,11700000.0,,600000.0,1,98
20013397807,1,,,,12000000.0,,10000000.0,1,98
20013397817,1,,,,11700000.0,,20000000.0,1,98
20013397823,1,,,,,,15000000.0,1,98
20010394211,1,,,3000000.0,18000000.0,,100000000.0,1,98
20012396614,1,,0100000000,400000.0,11700000.0,,5000000.0,1,98
20005389014,1,,,,11700000.0,,150000000.0,1,98
20012396623,1,,,900000.0,,,,1,98
20001385417,1,0202000000,,,,,,1,98
20010394208,1,,,2500000.0,,,,1,98
20003386610,1,,,2000000.0,18000000.0,,,1,98
20003386613,1,,,,12000000.0,,10000000.0,1,98
20003386620,1,,,500000.0,,,,1,98
20004387820,2,,,,12000000.0,,,1,98
20004387811,1,,,600000.0,,,,1,98
20006390211,1,,,,,,60000000.0,1,98
20006390211,2,,,,9600000.0,,,1,98
20010394214,1,0036200000,,2000000.0,,,,1,98
20006390220,1,,,2000000.0,,,,1,98
20007392608,1,0490000000,,,,,,1,98
20003387017,1,,,,,,96000000.0,1,98
20003387023,1,0168000000,,,,,,1,98
20003387023,3,,,,12000000.0,,,1,98
20003387008,1,0174300000,,3600000.0,,,,1,98
20002385814,1,,,2800000.0,,,,1,98
20002385814,2,,,,,800000.0,,1,98
20002385808,1,,0040000000,,15000000.0,,5000000.0,1,98
20011394623,3,0004000000,,,,,,1,98
20011394620,1,,,,12000000.0,,30000000.0,1,98
20011394620,4,,,,3600000.0,,,1,98
20012395817,1,,,2380000.0,,,,1,98
20013397020,1,,,,,,600000.0,1,98
20009393015,1,,,,12000000.0,,,1,98
20009393011,1,,,,,,60000000.0,1,98
20003387007,1,0027600000,,,30000000.0,,10000000.0,1,98
20011394613,1,,0300000000,1800000.0,7360000.0,,,1,98
20011394613,2,,,1800000.0,7360000.0,,,1,98
20007391407,1,,,,7200000.0,,,1,98
20007391420,1,0144000000,,,,,,1,98
20005389008,1,0024000000,,,,,20000000.0,1,98
20001385415,1,0154000000,,1000000.0,,,,1,98
20001384208,1,0369000000,,,,,,1,98
20001384214,1,,0100000000,,18000000.0,,30000000.0,1,98
20007391811,1,,,,36000000.0,,,1,98
20007391814,1,,,,34000000.0,,,1,98
20007391808,1,,,,30000000.0,,,1,98
20003387014,1,,,,16900000.0,,,1,98
20003387014,2,0027000000,,,,,,1,98
20004388217,1,,,,,,40000000.0,1,98
20011394611,1,,,1000000.0,13000000.0,,,1,98
20011394611,3,,,1070000.0,,,,1,98
20004388214,1,,,,,,50000000.0,1,98
20004388220,1,,,,,,40000000.0,1,98
20010393414,1,,,,24400000.0,,40000000.0,1,98
20004388208,1,0336000000,,1000000.0,,,,1,98
20013397023,1,0004000000,,8000000.0,,,5000000.0,1,98
20013397023,3,0006400000,,,,,,1,98
20001384623,1,,,1000000.0,28000000.0,,10000000.0,1,98
20011394608,1,,,12000000.0,,,,1,98
20013397013,1,,,1100000.0,,,,1,98
20006390620,1,0212000000,,,,,,1,98
20010393411,1,,,,13000000.0,,,1,98
20004388223,1,0040000000,,4500000.0,,,4000000.0,1,98
20010393423,1,0150000000,,2900000.0,,,,1,98
20013397007,4,0015000000,,,,,,1,98
20010393420,1,0286000000,,,,,,1,98
20001385023,1,,0054000000,,,,,1,98
20002386223,1,0160000000,,,,,,1,98
20001385018,1,0214000000,,,,,,1,98
20001385014,1,0334000000,0060000000,,,,,1,98
20013397412,1,,,,,15000000.0,,1,98
20002386212,1,0166000000,,2000000.0,,,,1,98
20002386216,1,0036000000,,,,,,1,98
20001385007,1,0091000000,,,,,50000000.0,1,98
20013397423,1,,,,24000000.0,,,1,98
20001385009,1,,0040000000,144000000.0,,,,1,98
20007392214,1,,,,7200000.0,,18000000.0,1,98
20007391017,1,0334000000,,,,,,1,98
20007391008,1,0152000000,,,,,,1,98
20006389812,1,,0010000000,2400000.0,,,100000000.0,1,98
20002386213,1,0166000000,,,,,,1,98
20006389820,1,,,120000000.0,,,,1,98
20007391009,1,0156000000,,,,,,1,98
20001385020,1,0161000000,0150000000,,,,,1,98
20006389412,1,,,2950000.0,,,,1,98
20006389420,1,,,1600000.0,,,,1,98
20005388616,1,,,2000000.0,,,,1,98
20005388623,1,,,1400000.0,,,,1,98
20004387417,1,,0030000000,,10800000.0,,5000000.0,1,98
20012395814,1,,,,,,10000000.0,1,98
20012395814,2,,,,,,6000000.0,1,98
20007391414,1,0250000000,,,,,,1,98
20003387020,1,0282000000,,,,,,1,98
20012396213,2,,,,,2000000.0,,1,98
20006389808,1,,,15000000.0,,,,1,98
20009393023,1,,,,,20000000.0,,1,98
20009393023,2,,0100000000,,,170000000.0,,1,98
20006389414,3,0019200000,,,,,,1,98
20005388614,1,,,36000000.0,,,,1,98
20012396214,1,,0080000000,520000000.0,,,,1,98
20010393820,1,0334000000,,,,,,1,98
20010393820,3,0012000000,,,,,,1,98
20004387414,1,,,4300000.0,,,,1,98
20004387411,1,,,1000000.0,11700000.0,,4000000.0,1,98
20010393808,1,0176000000,,,,,,1,98
20004387423,1,,,,24000000.0,,,1,98
20010393813,1,,,280000.0,,,,1,98
20011395015,1,,0060000000,50000000.0,,,50000000.0,1,98
20002386220,1,0202000000,,800000.0,,,,1,98
20010393818,2,0015000000,,1600000.0,,,,1,98
20013397408,1,,,,19500000.0,,,1,98
20013397408,2,,,1700000.0,,13000000.0,,1,98
20013397417,1,,,1600000.0,24700000.0,,4000000.0,1,98
20011395023,5,,,,15000000.0,,,1,98
20011395011,1,0166000000,,,,,,1,98
20012396223,1,,,92000000.0,,,,1,98
20006390218,1,,0060800000,,,,50000000.0,1,98
20006390223,1,,,151600000.0,,,,1,98
20006390213,1,0600000000,0050000000,,,,,1,98
20002386211,1,0017000000,,1840000.0,,,,1,98
20104399614,1,,,800000.0,34800000.0,,2000000.0,1,98
20104399614,2,,,800000.0,,,,1,98
20104399608,4,,,,,,4000000.0,1,98
20104399617,1,,,900000.0,,,,1,98
20104399617,2,,,900000.0,,,,1,98
20104399617,3,,,,,,2500000.0,1,98
20108402414,1,0430000000,,,,,,1,98
20108402411,3,,,,,25000000.0,,1,98
20108402423,1,0166000000,0055000000,935000.0,,30000000.0,,1,98
20108402423,2,,,935000.0,,,,1,98
20104399623,3,,,,,,400000.0,1,98
20104399620,1,,,,2000000.0,,,1,98
20104399620,4,,,,12000000.0,,,1,98
20106401010,1,0178000000,,,,,15000000.0,1,98
20107401523,1,,,,25000000.0,,5000000.0,1,98
20107401523,2,,,,,25000000.0,,1,98
20102398811,1,,0032500000,30900000.0,,,,1,98
20102398811,2,,,900000.0,,,,1,98
20102398811,3,,,900000.0,,,500000.0,1,98
20101398318,1,,,,48000000.0,,17000000.0,1,98
20101398318,2,,,,,,1500000.0,1,98
20101398318,3,,,,,,1000000.0,1,98
20102398808,1,,,900000.0,,,5000000.0,1,98
20101398317,1,,,,4000000.0,,16000000.0,1,98
20101398310,1,0184000000,0085000000,,,,,1,98
20111403608,1,,0077000000,1200000.0,,,,1,98
20111403608,2,,,1000000.0,,,,1,98
20106401011,1,0077000000,,360000.0,,,,1,98
20106401011,2,,,720000.0,,,,1,98
20111403611,1,,,,18000000.0,,6000000.0,1,98
20111403614,3,,,,,,5000000.0,1,98
20101398311,1,,,,,,65000000.0,1,98
20101398311,3,,,,,,2000000.0,1,98
20101398311,4,,,,,,15000000.0,1,98
20106401014,1,,,900000.0,12350000.0,,5000000.0,1,98
20112404223,1,,0008400000,1500000.0,17400000.0,,,1,98
20101398320,1,,,500000.0,,,10000000.0,1,98
20101398320,2,,,500000.0,,,,1,98
20101398320,3,,,500000.0,,,,1,98
20111403617,1,,,,12000000.0,,15000000.0,1,98
20101398323,3,,,,,,1000000.0,1,98
20101398323,4,,,,,,1000000.0,1,98
20106401017,1,,,,17000000.0,,40000000.0,1,98
20112404214,3,,,,12000000.0,,10000000.0,1,98
20112404214,4,,,,,,3000000.0,1,98
20112404220,2,0226000000,,,,,,1,98
20107401520,3,,,,,,5000000.0,1,98
20106401023,3,,,,,,2800000.0,1,98
20104399207,1,,,700000.0,,,,1,98
20104399207,2,,,700000.0,,,,1,98
20104399207,3,,,,,,600000.0,1,98
20104399207,4,,,,,,900000.0,1,98
20107401517,1,,,1000000.0,28800000.0,,,1,98
20107401517,2,,,1000000.0,18000000.0,,,1,98
20102398820,1,,,,30000000.0,,20000000.0,1,98
20107401511,1,,,860000.0,11400000.0,,,1,98
